?X -> 5, ?Y -> ZVvs84745
?X -> 10, ?Y -> TIxo26497
?X -> 411, ?Y -> VAan26775
?X -> 333, ?Y -> JLaz64100
?X -> 262, ?Y -> GGdn40117
?X -> 72, ?Y -> TYtx29476
?X -> 318, ?Y -> QYrv15003
?X -> 285, ?Y -> HAlg50198
?X -> 225, ?Y -> IBoe27376
?X -> 211, ?Y -> KBuv05642
?X -> 446, ?Y -> JLaz64100
?X -> 323, ?Y -> PYdu99947
?X -> 490, ?Y -> WGwy32648
?X -> 199, ?Y -> YYia92451
?X -> 426, ?Y -> DDlk26552
?X -> 401, ?Y -> GVnn33000
?X -> 280, ?Y -> DGbf61540
?X -> 241, ?Y -> KFnp03233
?X -> 421, ?Y -> WObw49498
?X -> 355, ?Y -> NVsp58732
?X -> 12, ?Y -> ZFca52833
?X -> 292, ?Y -> DKfr22893
?X -> 64, ?Y -> IRvc79351
?X -> 113, ?Y -> OAbm36543
?X -> 58, ?Y -> KXyn75763
?X -> 233, ?Y -> XSga63965
?X -> 3, ?Y -> GVqb31515
?X -> 61, ?Y -> VUgb16755
?X -> 392, ?Y -> BYaa52515
?X -> 7, ?Y -> SMxn42414
?X -> 390, ?Y -> HSbs77019
?X -> 16, ?Y -> JZri35790
?X -> 379, ?Y -> VDub78663
?X -> 430, ?Y -> EZns36535
?X -> 452, ?Y -> HYak48124
?X -> 254, ?Y -> FLpl08699
?X -> 107, ?Y -> WFwv95305
?X -> 229, ?Y -> BBst13231
?X -> 156, ?Y -> CRcc13229
?X -> 344, ?Y -> OOro56169
?X -> 343, ?Y -> HPyj43589
?X -> 88, ?Y -> TEon90466
?X -> 342, ?Y -> UXtj02406
?X -> 178, ?Y -> MHvl57601
?X -> 317, ?Y -> YIhd87908
?X -> 228, ?Y -> BEan94119
?X -> 470, ?Y -> DObo53254
?X -> 103, ?Y -> JMnd83867
?X -> 180, ?Y -> QLst12679
?X -> 106, ?Y -> ALtz61718
?X -> 15, ?Y -> GKqs55928
?X -> 402, ?Y -> EGjs03751
?X -> 266, ?Y -> QZbs35070
?X -> 302, ?Y -> BPnt70146
?X -> 382, ?Y -> KXyn75763
?X -> 256, ?Y -> AIww56344
?X -> 153, ?Y -> AXzd70938
?X -> 433, ?Y -> TJnl02791
?X -> 152, ?Y -> QMll75759
?X -> 487, ?Y -> PEmm57041
?X -> 364, ?Y -> GFvm76224
?X -> 458, ?Y -> XPav99161
?X -> 326, ?Y -> OIww59704
?X -> 486, ?Y -> LXkz36578
?X -> 4, ?Y -> YYia92451
?X -> 104, ?Y -> UBru90624
?X -> 281, ?Y -> ZJmr40348
?X -> 90, ?Y -> NRqo35212
?X -> 498, ?Y -> BMeb34949
?X -> 471, ?Y -> JTal15673
?X -> 312, ?Y -> GEps58058
?X -> 235, ?Y -> LKjz18654
?X -> 194, ?Y -> KKsf66909
?X -> 295, ?Y -> ATxx52126
?X -> 33, ?Y -> WWvh70149
?X -> 6, ?Y -> FFzr40792
?X -> 66, ?Y -> NSoq94951
?X -> 162, ?Y -> TLlj98693
?X -> 220, ?Y -> EDhu18642
?X -> 371, ?Y -> FGdl05362
?X -> 480, ?Y -> BEqu07662
?X -> 52, ?Y -> DYxq45800
?X -> 361, ?Y -> WBhw78738
?X -> 252, ?Y -> JBgu99882
?X -> 377, ?Y -> XYag49496
?X -> 420, ?Y -> HYak48124
?X -> 265, ?Y -> JLzr92130
?X -> 270, ?Y -> NXdb02849
?X -> 13, ?Y -> QWho87710
?X -> 267, ?Y -> UCdi84246
