?X -> 122844, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 112329, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 117260, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 104508, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 109645, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 100132, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 110421, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 110756, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 103992, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 113231, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 101321, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 106458, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 122534, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 116030, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 123479, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 111898, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 123941, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 123372, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 121471, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 122714, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 121606, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 102823, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 121604, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 108117, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 112116, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 117387, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 110726, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 121372, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 112708, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 104450, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 117229, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 119323, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 106092, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 106740, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 110342, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 122552, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
?X -> 123403, ?Y -> e, ?Z -> IWqo45765, ?K -> OUQLZIDYJD, ?L -> OUQLZIDYJD
