ABBloodGroupTestResult,9_1_8655
presence,Existentiality
ABloodGroupTest,9_1_12930
BBloodGroupTest,9_1_12933
ABOBloodGroupTest,9_1_12929
InvestigationAct,9_1_4701
Existentiality,Modality
BloodGroupAAntigenOrBloodGroupBAntigen,BloodGroupAntigen
Blood,SoftTissue
Blood,23_1_2486
BloodGroupAAntigen,BloodGroupAAntigenOrBloodGroupBAntigen
ABloodGroupTestResult,9_1_8656
Aardvark,Tubulidentata
Tubulidentata,NonHuman
Tubulidentata,Eutheria
Aardwolf,Proteles
Proteles,Hyaenidae
Abacavir,NAMEDActiveDrugIngredient
NAMEDActiveDrugIngredient,ActiveDrugChemicalIngredient
Abciximab,NAMEDActiveDrugIngredient
Abdomen,NAMEDTrunkBodyPart
Abdomen,23_1_4
Abdomen,23_1_5
Abdomen,23_1_6
Abdomen,23_1_7
Abdomen,23_1_8
Abdomen,23_1_9
Abdomen,23_1_10
Abdomen,23_1_11
Abdomen,23_1_12
Abdomen,23_1_13
Abdomen,23_1_16
Abdomen,23_1_17
NAMEDTrunkBodyPart,NAMEDSurfaceBodyPart
AbdominalCavity,9_1_858
AbdominalCavity,23_1_35
AbdominalCavity,23_1_36
AbdominalCavity,23_1_37
AbdominalCavity,23_1_38
AbdominalCavity,23_1_39
AbdominalCavity,23_1_40
AbdominalCavity,23_1_41
AbdominalCavity,23_1_42
AbdominalCavity,23_1_43
AbdominalCavity,23_1_44
AbdominalCavity,23_1_45
AbdominalCavity,23_1_46
AbdominalCavity,23_1_47
AbdominalCavity,23_1_48
AbdominalCavity,23_1_49
AbdominalCavity,23_1_50
AbdominalCavity,23_1_51
AbdominalCavity,23_1_52
AbdominalCavity,23_1_53
AbdominalCavity,23_1_54
AbdominalCavity,23_1_55
AbdominalCavity,23_1_56
AbdominalCavity,23_1_57
AbdominalCavity,23_1_58
AbdominalCavity,23_1_59
AbdominalCavity,23_1_60
AbdominalCavity,23_1_61
AbdominalCavity,23_1_62
AbdominalCavity,23_1_63
AbdominalCavity,23_1_64
AbdominalCavity,23_1_65
AbdominalCavity,23_1_66
AbdominalCavity,23_1_67
AbdominalCavity,23_1_68
AbdominalCavity,23_1_69
AbdominalCavity,23_1_70
AbdominalCavity,23_1_71
AbdominalCavity,23_1_72
AbdominalCavity,23_1_73
AbdominalCavity,23_1_74
AbdominalCavity,23_1_75
AbdominalCavity,23_1_76
AbdominalCavity,23_1_77
AbdominalCavity,23_1_78
AbdominalCavity,23_1_79
AbdominalCavity,23_1_80
AbdominalCavity,23_1_81
AbdominalCavity,23_1_82
AbdominalCavity,23_1_83
AbdominalCavity,23_1_84
AbdominalCavity,23_1_85
AbdominalCavity,23_1_86
AbdominalCavity,23_1_87
AbdominalCavity,23_1_88
AbdominalCavity,23_1_89
AbdominalCavity,23_1_90
AbdominalCavity,23_1_91
AbdominalCavity,23_1_92
AbdominalCavity,23_1_93
AbdominalCavity,23_1_94
AbdominalCavity,23_1_95
AbdominalCavity,23_1_96
AbdominalCavity,23_1_97
AbdominalCavity,23_1_98
AbdominalCavity,23_1_99
AbdominalCavity,23_1_100
AbdominalCavity,23_1_101
AbdominalCavity,23_1_102
AbdominalCavity,23_1_103
AbdominalCavity,23_1_104
AbdominalCavity,23_1_105
AbdominalCavity,23_1_106
AbdominalCavity,23_1_107
AbdominalCavity,23_1_108
AbdominalCavity,23_1_109
AbdominalCavity,23_1_110
AbdominalCavity,23_1_111
AbdominalCavity,23_1_112
AbdominalCavity,23_1_113
AbdominalCavity,23_1_114
AbdominalCavity,23_1_115
AbdominalCavity,23_1_116
AbdominalCavity,23_1_117
AbdominalCavity,23_1_118
