ContainmentAttribute,ContainmentAttribute
isNonCausallyLinkedTo,isNonCausallyLinkedTo
HasDivision,HasDivision
InverseContainmentAttribute,InverseContainmentAttribute
hasNonCausalLinkTo,hasNonCausalLinkTo
hasFeature,hasFeature
InverseTemporalModifierAttribute,InverseTemporalModifierAttribute
IsDivisionOf,IsDivisionOf
LocativeAttribute,LocativeAttribute
isFeatureOf,isFeatureOf
StatusAttribute,StatusAttribute
actsOn,actsOn
actsSpecificallyAtLevel,actsSpecificallyAtLevel
actsSpecificallyOn,actsSpecificallyOn
boundsSpace,boundsSpace
connects,connects
definesSpace,definesSpace
isFunctionOf,isFunctionOf
follows,follows
hasAbnormalityStatus,hasAbnormalityStatus
hasAbsoluteState,hasAbsoluteState
hasAbstractDirection,hasAbstractDirection
hasDimension,hasDimension
hasCausalLinkTo,hasCausalLinkTo
hasAcquisitionMode,hasAcquisitionMode
hasAdjustability,hasAdjustability
hasAge,hasAge
hasPartitiveConnection,hasPartitiveConnection
hasAnaesthesia,hasAnaesthesia
hasAnswer,hasAnswer
hasAnteriorPosteriorSelector,hasAnteriorPosteriorSelector
hasAnteroRetrogradeSelector,hasAnteroRetrogradeSelector
hasAppropriateness,hasAppropriateness
hasAssertedDiseaseClass,hasAssertedDiseaseClass
hasBeneficialStatus,hasBeneficialStatus
hasBilateralUnilateralSelector,hasBilateralUnilateralSelector
hasCellMorphology,hasCellMorphology
hasCentralPeripheralSelector,hasCentralPeripheralSelector
hasChangeInState,hasChangeInState
hasChemicalProcessType,hasChemicalProcessType
hasChemicalSubgroup,hasChemicalSubgroup
hasMixedThroughout,hasMixedThroughout
hasChronicity,hasChronicity
hasClinicalAppearance,hasClinicalAppearance
hasClinicalSpeciality,hasClinicalSpeciality
hasCoherence,hasCoherence
hasColinearityWith,hasColinearityWith
passesThrough,passesThrough
hasColour,hasColour
hasCompleteness,hasCompleteness
hasConsequence,hasConsequence
hasConfidenceLevelStatus,hasConfidenceLevelStatus
hasContextOfUse,hasContextOfUse
hasParallelToIt,hasParallelToIt
hasCountability,hasCountability
hasDevelopmentalStatus,hasDevelopmentalStatus
hasDiameter,hasDiameter
hasDirectionOfTransport,hasDirectionOfTransport
hasDiseaseAnalogy,hasDiseaseAnalogy
hasDiseaseCourseStage,hasDiseaseCourseStage
hasDiseaseProcessExtent,hasDiseaseProcessExtent
hasDissolvedWithin,hasDissolvedWithin
hasDistribution,hasDistribution
hasDominance,hasDominance
hasDonorOrigin,hasDonorOrigin
hasDorsalVentralSelector,hasDorsalVentralSelector
hasDrugFeature,hasDrugFeature
hasDryness,hasDryness
hasDuration,hasDuration
hasEase,hasEase
hasEctopicSupernumeraryStatus,hasEctopicSupernumeraryStatus
hasEffectiveness,hasEffectiveness
hasEndPoint,hasEndPoint
hasQuantity,hasQuantity
hasEpithelialCiliation,hasEpithelialCiliation
hasEpithelialLayering,hasEpithelialLayering
hasExistence,hasExistence
hasExpectedLevelState,hasExpectedLevelState
hasExposureTo,hasExposureTo
hasFormulationAtDelivery,hasFormulationAtDelivery
hasFormulationComplex,hasFormulationComplex
hasFractureComplexity,hasFractureComplexity
hasFrameOfReference,hasFrameOfReference
hasFrequency,hasFrequency
hasFunction,hasFunction
hasStructuralComponent,hasStructuralComponent
hasGait,hasGait
hasGeneticZygocity,hasGeneticZygocity
hasGoal,hasGoal
hasGreaterLesserSelector,hasGreaterLesserSelector
hasImmediacy,hasImmediacy
hasImmediateConsequence,hasImmediateConsequence
hasImplantability,hasImplantability
hasInSuspensionWithin,hasInSuspensionWithin
hasIndicationStatus,hasIndicationStatus
hasIngredient,hasIngredient
isMadeOf,isMadeOf
hasInnerOuterSelector,hasInnerOuterSelector
hasInstructionConditionalStatus,hasInstructionConditionalStatus
hasInstructionStatus,hasInstructionStatus
hasIntentionality,hasIntentionality
hasInternalExternalSelector,hasInternalExternalSelector
hasIntrauterineBodyPosition,hasIntrauterineBodyPosition
hasIntrinsicAbnormalityStatus,hasIntrinsicAbnormalityStatus
hasIntrinsicPathologicalStatus,hasIntrinsicPathologicalStatus
hasInvestigationResultStatus,hasInvestigationResultStatus
hasIonisationFeature,hasIonisationFeature
hasKnowledgeStatus,hasKnowledgeStatus
hasLayer,hasLayer
hasLeftRightSelector,hasLeftRightSelector
hasLinearDivision,hasLinearDivision
hasLocation,hasLocation
hasLongBoneFractureType,hasLongBoneFractureType
hasMagnitude,hasMagnitude
hasMajorMinorSelector,hasMajorMinorSelector
hasMalignancy,hasMalignancy
hasMass,hasMass
hasMedialLateralSelector,hasMedialLateralSelector
hasMetastaticStatus,hasMetastaticStatus
partitivelyContains,partitivelyContains
hasMotionSmoothness,hasMotionSmoothness
hasMultipleLocation,hasMultipleLocation
hasSubprocess,hasSubprocess
hasNodularity,hasNodularity
hasNumber,hasNumber
hasOcclusalNonOcclusalSelector,hasOcclusalNonOcclusalSelector
hasOdour,hasOdour
hasOrdinalPosition,hasOrdinalPosition
hasOverlappingStatus,hasOverlappingStatus
hasPalpability,hasPalpability
hasParadoxicalStatus,hasParadoxicalStatus
hasParity,hasParity
hasPatency,hasPatency
hasPathologicalStatus,hasPathologicalStatus
hasPermanence,hasPermanence
hasPersonPerforming,hasPersonPerforming
hasPersonalityType,hasPersonalityType
hasPhenotypicalSex,hasPhenotypicalSex
hasPhysicalMeans,hasPhysicalMeans
hasPhysicalPresentation,hasPhysicalPresentation
hasPhysicalState,hasPhysicalState
hasPigmentation,hasPigmentation
hasPowerSource,hasPowerSource
hasPresenceAbsence,hasPresenceAbsence
hasProcessActivity,hasProcessActivity
hasProminence,hasProminence
hasProximalDistalSelector,hasProximalDistalSelector
hasProximity,hasProximity
hasQuality,hasQuality
hasRadioluscence,hasRadioluscence
hasRange,hasRange
hasRelationshipToWhole,hasRelationshipToWhole
hasReusability,hasReusability
hasReversibility,hasReversibility
hasRevisionStatus,hasRevisionStatus
hasRigidity,hasRigidity
hasScope,hasScope
hasSensitivity,hasSensitivity
hasSeverity,hasSeverity
hasSexualMaturation,hasSexualMaturation
hasShape,hasShape
hasShapeAnalagousTo,hasShapeAnalagousTo
hasSignalAmplitude,hasSignalAmplitude
hasSimpleComplexSelector,hasSimpleComplexSelector
hasSize,hasSize
hasSkullFractureType,hasSkullFractureType
hasSolidDivision,hasSolidDivision
hasSolubility,hasSolubility
hasSpecificConsequence,hasSpecificConsequence
hasSpecificFunction,hasSpecificFunction
hasSpecificGoal,hasSpecificGoal
hasSpecificImmediateComplication,hasSpecificImmediateComplication
hasSpecificImmediateConsequence,hasSpecificImmediateConsequence
hasSpecificLayer,hasSpecificLayer
hasSpecificLocation,hasSpecificLocation
hasSpecificPersonPerforming,hasSpecificPersonPerforming
hasSpecificPhase,hasSpecificPhase
hasSpecificPhysicalMeans,hasSpecificPhysicalMeans
hasSpecificProximity,hasSpecificProximity
hasSpecificSolidDivision,hasSpecificSolidDivision
hasSpecificStructuralComponent,hasSpecificStructuralComponent
hasSpecificSubprocess,hasSpecificSubprocess
hasSpeed,hasSpeed
hasSpontaneity,hasSpontaneity
hasSquintConcomitance,hasSquintConcomitance
hasStartPoint,hasStartPoint
hasStructuralExtent,hasStructuralExtent
hasSuddeness,hasSuddeness
hasSuperficialDeepSelector,hasSuperficialDeepSelector
hasSuperiorInferiorSelector,hasSuperiorInferiorSelector
hasSurfaceVisibility,hasSurfaceVisibility
hasSurgicalExtent,hasSurgicalExtent
hasSurgicalOpenClosedness,hasSurgicalOpenClosedness
hasSymptomCharacter,hasSymptomCharacter
hasSynchronicity,hasSynchronicity
hasSyndromeElement,hasSyndromeElement
hasTasteFeature,hasTasteFeature
hasTemperature,hasTemperature
hasTemporalPattern,hasTemporalPattern
hasTimeOfOccurrence,hasTimeOfOccurrence
hasTimingAppropriateness,hasTimingAppropriateness
hasTopology,hasTopology
hasToughness,hasToughness
hasTransparency,hasTransparency
hasTreatmentStatus,hasTreatmentStatus
hasTreatmentTractability,hasTreatmentTractability
hasTrendInState,hasTrendInState
hasTumourHistology,hasTumourHistology
hasUniqueAssociatedDisplacement,hasUniqueAssociatedDisplacement
hasUniqueAssociatedProcess,hasUniqueAssociatedProcess
isSpecificImmediateConsequenceOf,isSpecificImmediateConsequenceOf
hasUniqueAssociatedStructure,hasUniqueAssociatedStructure
hasUnit,hasUnit
hasUpperLowerSelector,hasUpperLowerSelector
hasUrgency,hasUrgency
hasUsefulness,hasUsefulness
hasUsualReporter,hasUsualReporter
hasVerticalDepth,hasVerticalDepth
hasViability,hasViability
hasVisceralParietalSelector,hasVisceralParietalSelector
hasVolume,hasVolume
involvesProcess,involvesProcess
isAbsoluteStateOf,isAbsoluteStateOf
isDimensionOf,isDimensionOf
isCausallyLinkedTo,isCausallyLinkedTo
isActedOnBy,isActedOnBy
isActedOnSpecificallyBy,isActedOnSpecificallyBy
isAcuityOf,isAcuityOf
isAlphaConnectionOf,isAlphaConnectionOf
isAlphaPartitiveConnectionOf,isAlphaPartitiveConnectionOf
isPartitiveConnectionOf,isPartitiveConnectionOf
isAnswerOf,isAnswerOf
isAssociatedWith,isAssociatedWith
isBetaConnectionOf,isBetaConnectionOf
isBetaPartitiveConnectionOf,isBetaPartitiveConnectionOf
isBlindPouchDivisionOf,isBlindPouchDivisionOf
isBodyPositionOf,isBodyPositionOf
isBranchOf,isBranchOf
isCapabilityOf,isCapabilityOf
isCellMorphologyOf,isCellMorphologyOf
isCharacterisedBy,isCharacterisedBy
